2025-12-28 16:45:54,702:INFO:RewardSystem reset.
2025-12-28 16:45:54,702:INFO:Connected to SpaceCadetPinball shared memory
2025-12-28 16:45:54,702:INFO:Connected to SpaceCadetPinball shared memory - using direct ball position!
2025-12-28 16:45:54,702:INFO:GameControl initialized
2025-12-28 16:45:54,705:INFO:PinballEnv initialized with observation shape (240, 320, 3)
2025-12-28 16:45:59,329:INFO:RewardSystem reset.
2025-12-28 16:46:04,478:INFO:BALL: (-7.0, 11.5) speed=0.5 score=0
2025-12-28 16:46:04,496:INFO:BALL: (-7.0, 11.5) speed=0.6 score=0
2025-12-28 16:46:04,515:INFO:BALL: (-7.0, 11.5) speed=0.9 score=0
2025-12-28 16:46:04,532:INFO:BALL: (-7.0, 11.5) speed=1.1 score=0
2025-12-28 16:46:04,550:INFO:BALL: (-7.0, 11.5) speed=1.2 score=0
2025-12-28 16:46:04,569:INFO:BALL: (-7.0, 11.6) speed=1.4 score=0
2025-12-28 16:46:04,586:INFO:BALL: (-7.0, 11.6) speed=1.6 score=0
2025-12-28 16:46:04,605:INFO:BALL: (-7.0, 11.6) speed=1.8 score=0
2025-12-28 16:46:04,624:INFO:BALL: (-7.0, 11.7) speed=2.1 score=0
2025-12-28 16:46:04,642:INFO:BALL: (-7.0, 11.6) speed=2.2 score=0
2025-12-28 16:46:04,659:INFO:BALL: (-7.0, 11.6) speed=2.0 score=0
2025-12-28 16:46:04,678:INFO:BALL: (-7.0, 11.6) speed=1.9 score=0
2025-12-28 16:46:04,696:INFO:BALL: (-7.0, 11.5) speed=1.6 score=0
2025-12-28 16:46:04,714:INFO:BALL: (-7.0, 11.5) speed=1.4 score=0
2025-12-28 16:46:04,733:INFO:BALL: (-7.0, 11.5) speed=1.1 score=0
2025-12-28 16:46:04,751:INFO:BALL: (-7.0, 11.5) speed=0.9 score=0
2025-12-28 16:46:04,769:INFO:BALL: (-7.0, 11.5) speed=0.7 score=0
2025-12-28 16:46:04,788:INFO:BALL: (-7.0, 11.5) speed=0.6 score=0
2025-12-28 16:46:04,805:INFO:BALL: (-7.0, 11.5) speed=0.5 score=0
2025-12-28 16:46:04,822:INFO:BALL: (-7.0, 11.5) speed=0.2 score=0
2025-12-28 16:46:04,841:INFO:BALL: (-7.0, 11.4) speed=0.1 score=0
2025-12-28 16:46:04,860:INFO:BALL: (-7.0, 11.5) speed=0.1 score=0
2025-12-28 16:46:04,877:INFO:BALL: (-7.0, 11.5) speed=0.2 score=0
2025-12-28 16:46:04,896:INFO:BALL: (-7.0, 11.5) speed=0.3 score=0
2025-12-28 16:46:04,914:INFO:BALL: (-7.0, 11.5) speed=0.4 score=0
2025-12-28 16:46:04,932:INFO:BALL: (-7.0, 11.5) speed=0.7 score=0
2025-12-28 16:46:04,950:INFO:BALL: (-7.0, 11.5) speed=0.8 score=0
2025-12-28 16:46:04,970:INFO:BALL: (-7.0, 11.5) speed=1.0 score=0
2025-12-28 16:46:04,987:INFO:BALL: (-7.0, 11.5) speed=1.2 score=0
2025-12-28 16:46:05,005:INFO:BALL: (-7.0, 11.5) speed=1.4 score=0
2025-12-28 16:46:05,022:INFO:BALL: (-7.0, 11.6) speed=1.6 score=0
2025-12-28 16:46:05,041:INFO:BALL: (-7.0, 11.6) speed=1.8 score=0
2025-12-28 16:46:05,060:INFO:BALL: (-7.0, 11.7) speed=2.1 score=0
2025-12-28 16:46:05,078:INFO:BALL: (-7.0, 11.6) speed=3.2 score=0
2025-12-28 16:46:05,096:INFO:BALL: (-7.0, 11.6) speed=2.9 score=0
2025-12-28 16:46:05,114:INFO:BALL: (-7.0, 11.5) speed=2.8 score=0
2025-12-28 16:46:05,133:INFO:BALL: (-7.0, 11.5) speed=2.6 score=0
2025-12-28 16:46:05,150:INFO:BALL: (-7.0, 11.5) speed=2.4 score=0
2025-12-28 16:46:05,169:INFO:BALL: (-7.0, 11.4) speed=2.0 score=0
2025-12-28 16:46:05,187:INFO:BALL: (-7.0, 11.4) speed=1.8 score=0
2025-12-28 16:46:05,205:INFO:BALL: (-7.0, 11.4) speed=1.6 score=0
2025-12-28 16:46:05,222:INFO:BALL: (-7.0, 11.3) speed=1.4 score=0
2025-12-28 16:46:05,242:INFO:BALL: (-7.0, 11.3) speed=1.3 score=0
2025-12-28 16:46:05,259:INFO:BALL: (-7.0, 11.3) speed=1.1 score=0
2025-12-28 16:46:05,277:INFO:BALL: (-7.0, 11.3) speed=0.9 score=0
2025-12-28 16:46:05,295:INFO:BALL: (-7.0, 11.3) speed=0.7 score=0
2025-12-28 16:46:05,313:INFO:BALL: (-7.0, 11.3) speed=0.4 score=0
2025-12-28 16:46:05,333:INFO:BALL: (-7.0, 11.3) speed=0.3 score=0
2025-12-28 16:46:05,350:INFO:BALL: (-7.0, 11.3) speed=0.2 score=0
2025-12-28 16:46:05,368:INFO:BALL: (-7.0, 11.3) speed=0.0 score=0
2025-12-28 16:46:05,387:INFO:BALL: (-7.0, 11.3) speed=0.2 score=0
2025-12-28 16:46:05,404:INFO:BALL: (-7.0, 11.3) speed=0.4 score=0
2025-12-28 16:46:05,423:INFO:BALL: (-7.0, 11.3) speed=0.5 score=0
2025-12-28 16:46:05,442:INFO:BALL: (-7.0, 11.3) speed=0.6 score=0
2025-12-28 16:46:05,460:INFO:BALL: (-7.0, 11.3) speed=0.8 score=0
2025-12-28 16:46:05,478:INFO:BALL: (-7.0, 11.3) speed=0.9 score=0
2025-12-28 16:46:05,495:INFO:BALL: (-7.0, 11.3) speed=1.2 score=0
2025-12-28 16:46:05,514:INFO:BALL: (-7.0, 11.3) speed=1.4 score=0
2025-12-28 16:46:05,532:INFO:BALL: (-7.0, 11.4) speed=1.6 score=0
2025-12-28 16:46:05,550:INFO:BALL: (-7.0, 11.4) speed=1.8 score=0
2025-12-28 16:46:05,568:INFO:BALL: (-7.0, 11.4) speed=2.0 score=0
2025-12-28 16:46:05,587:INFO:BALL: (-7.0, 11.5) speed=2.2 score=0
2025-12-28 16:46:05,604:INFO:BALL: (-7.0, 11.5) speed=2.5 score=0
2025-12-28 16:46:05,623:INFO:BALL: (-7.0, 11.5) speed=2.5 score=0
2025-12-28 16:46:05,641:INFO:BALL: (-7.0, 11.6) speed=2.8 score=0
2025-12-28 16:46:05,660:INFO:BALL: (-7.0, 11.7) speed=3.0 score=0
2025-12-28 16:46:05,678:INFO:BALL: (-7.0, 11.6) speed=2.6 score=0
2025-12-28 16:46:05,695:INFO:BALL: (-7.0, 11.6) speed=2.4 score=0
2025-12-28 16:46:05,714:INFO:BALL: (-7.0, 11.5) speed=2.2 score=0
